latitude,longitude,temperature,humidity,wind_speed,rainfall,slope,aspect,fire
31.0,77.0,297.7869,11.477022,2.1284187,0.00022333568,85.36976,173.13094,1
31.0,77.25,293.45966,9.0026045,1.840776,0.00027707365,87.17375,109.931046,1
31.0,77.5,290.77823,7.0628314,1.322972,0.000271848,84.80736,296.4505,1
31.0,77.75,290.69104,8.054218,0.9805849,0.00024833446,87.13581,292.75104,1
31.0,78.0,288.45184,8.12618,0.9114662,0.00019163382,87.2698,204.53607,1
30.75,77.0,300.63196,15.746601,2.9330225,0.00020929243,87.82556,213.27498,0
30.75,77.25,296.8306,12.219658,2.2670283,0.00037884322,83.005455,144.53648,0
30.75,77.5,293.63635,8.563647,1.3667624,0.00054354744,86.386894,331.47134,0
30.75,77.75,293.737,7.944427,0.9991583,0.0003138839,87.26844,168.94292,0
30.75,78.0,293.62946,8.74484,1.0628917,0.00019482315,85.219696,240.76491,0
30.5,77.0,305.16565,19.22856,3.213673,9.5539406e-05,33.39937,193.23064,0
30.5,77.25,303.69986,17.408567,2.7250192,9.7708624e-05,75.93738,81.97216,0
30.5,77.5,301.41595,13.478511,2.0276148,0.00010074553,1.8912079,236.86069,0
30.5,77.75,299.3399,11.107945,1.5390114,0.00015551927,57.698864,222.80223,0
30.5,78.0,296.229,9.211061,1.4090049,0.00025275105,86.481606,330.75143,0
30.25,77.0,304.12952,13.861947,2.7227178,0.00013800919,6.5591335,186.29317,0
30.25,77.25,303.53986,12.634537,2.450792,0.00013386227,18.20016,306.3947,0
30.25,77.5,303.2632,11.657366,1.9657001,0.00011559002,39.52784,51.44427,0
30.25,77.75,302.66446,12.186759,1.7618531,0.00010658092,80.32011,73.569885,0
30.25,78.0,300.5865,11.797975,1.8393123,0.00016355123,65.75881,36.575905,0
30.0,77.0,305.0443,15.913385,2.8000827,0.0001805884,13.543333,117.188354,0
30.0,77.25,304.4589,14.604504,2.6340399,0.00016226925,10.472607,108.07748,0
30.0,77.5,303.73767,12.553145,2.2278514,0.00017247435,22.856201,35.19711,0
30.0,77.75,303.6662,12.049175,1.9018565,0.00016826489,23.500195,144.96616,0
30.0,78.0,303.50912,13.371761,1.964065,0.00015510888,56.454067,134.73685,0
